Partlist

Exported from DE_36_18v_9NL_24VDC_398x23.brd at 12-2-2018 12:52:40

EAGLE Version 5.11.0 Copyright (c) 1988-2010 CadSoft

Part     Value                         Package              Library  Position (mm)         Orientation

T2       NPN_BJT_DSS60601MZ4_SOT223    SOT223               _DE      (100 18)              R270
T3       NPN_BJT_DSS60601MZ4_SOT223    SOT223               _DE      (177 18)              R270
T4       NPN_BJT_DSS60601MZ4_SOT223    SOT223               _DE      (254 18)              R90
T5       NFET_IRLML0060TRPBF_SOT23     SOT23                _DE      (264 17)              R0
T6       BC847C_SOT23                  SOT23                _DE      (278 19)              R0
T7       BC847C_SOT23                  SOT23                _DE      (284 19)              R0
T8       NPN_BJT_DSS60601MZ4_SOT223    SOT223               _DE      (336 18)              R90
T9       NFET_IRLML0060TRPBF_SOT23     SOT23                _DE      (346 17)              R0
T10      NFET_IRLML0060TRPBF_SOT23     SOT23                _DE      (52 6)                R180
T11      NPN_BJT_DSS60601MZ4_SOT223    SOT223               _DE      (62 5)                R270
T12      BC847C_SOT23                  SOT23                _DE      (114 4)               R180
T13      BC847C_SOT23                  SOT23                _DE      (120 4)               R180
T14      NFET_IRLML0060TRPBF_SOT23     SOT23                _DE      (134 6)               R180
T15      NPN_BJT_DSS60601MZ4_SOT223    SOT223               _DE      (144 5)               R270
T16      NPN_BJT_DSS60601MZ4_SOT223    SOT223               _DE      (221 5)               R90
T17      NPN_BJT_DSS60601MZ4_SOT223    SOT223               _DE      (298 5)               R90
T18      NFET_IRLML0060TRPBF_SOT23     SOT23                _DE      (308 4)               R0
T19      BC847C_SOT23                  SOT23                _DE      (106.2 4)             R180
T20      BC847C_SOT23                  SOT23                _DE      (291.8 19)            R0
T21      TRANSISTOR_FMMTA92_SOT23      SOT23                _DE      (56 17.6)             R270
T22      PFET_IRFR9214_DPAK            DPAK                 _DE      (68.6 18.6)           R270
T23      TRANSISTOR_FMMTA92_SOT23      SOT23                _DE      (342 5.4)             R90
T24      PFET_IRFR9214_DPAK            DPAK                 _DE      (329.4 4.4)           R90
